Processes: 490 total, 3 running, 487 sleeping, 3732 threads 
2025/06/01 16:00:37
Load Avg: 1.34, 1.62, 2.05 
CPU usage: 5.19% user, 13.13% sys, 81.67% idle 
SharedLibs: 237M resident, 54M data, 35M linkedit.
MemRegions: 1112708 total, 1435M resident, 113M private, 713M shared.
PhysMem: 7458M used (1421M wired, 3505M compressor), 177M unused.
VM: 297T vsize, 5709M framework vsize, 760695(0) swapins, 1104588(0) swapouts.
Networks: packets: 12705930/15G in, 3015601/1167M out.
Disks: 14222817/346G read, 4802138/119G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
25102  top              0.0  00:00.87 1/1   0   16     5121K 0B    0B    25095 25098 running  *0[1]         0.00000 0.00000    0   1073     87     2258119  1129059   2620      1134327   17        9       0        0.0   0      0      180    root               N/A    N/A   N/A   N/A   N/A   N/A  
25098  bash             0.0  00:00.00 1     0   11     1457K 0B    0B    25095 25095 sleeping *0[1]         0.00000 0.00000    501 536      171    33       16        301       102       32        54      0        0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25096  DockHelper       0.0  00:00.38 5     3   175    13M   0B    2432K 25096 1     sleeping *2[4]         0.00000 0.00000    501 4746     281    2520     644       3711      5086      3674      1963    2        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25095  Python           0.0  00:00.14 1     0   19     24M   0B    5168K 25095 23001 sleeping *0[1]         0.00000 0.00000    501 4599     604    87       29        5081      527       1113      826     0        0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25093  mdworker_shared  0.0  00:00.20 4     1   49     4065K 0B    3712K 25093 1     sleeping *0[1]         0.00000 0.00000    501 2963     150    434      173       2994      566       448       48      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25090  mdworker_shared  0.0  00:00.28 4     1   49     4113K 0B    3760K 25090 1     sleeping *0[1]         0.00000 0.00000    501 4495     150    563      215       4905      765       840       48      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25047  ManagedSettingsA 0.0  00:00.07 2     1   40     2657K 0B    2384K 25047 1     sleeping *0[4]         0.00000 0.00000    501 1014     133    128      50        1301      289       228       82      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25034  ContextService   0.0  00:00.12 2     1   46     5121K 0B    4688K 25034 1     sleeping *0[2]         0.00000 0.00000    501 1481     170    166      54        1388      358       316       435     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25033  contactsdonation 0.0  00:00.24 2     1   110    7105K 0B    6704K 25033 1     sleeping *0[4]         0.00000 0.00000    501 2297     214    442      91        3561      1077      700       376     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25032  suggestd         0.0  00:00.89 3     2   190    10M   0B    5824K 25032 1     sleeping *0[2]         0.00000 0.00000    501 6162     331    937      245       12692     2255      3900      1820    2        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25031  linkd            0.0  00:00.78 2     1   50     5601K 0B    2752K 25031 1     sleeping  0[0]         0.00000 0.00000    501 3048     163    214      85        16058     780       2904      337     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25030  AppPredictionInt 0.0  00:00.29 2     1   40     5841K 0B    1824K 25030 1     sleeping  0[0]         0.00000 0.00000    501 2459     168    215      75        1023      447       806       604     1        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25017  Google Chrome He 0.0  00:25.55 18    1   222    356M  0B    339M  1205  1205  sleeping *0[14906]     0.00000 0.00000    501 359399   936    109136   39271     138971    239141    132852    221     462      0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25010  GMSSELFIngestor  0.0  00:00.01 2     1   47     4433K 0B    4032K 25010 1     sleeping *0[1]         0.00000 0.00000    501 1409     177    178      56        845       387       125       9       0        0.0   0      0      40     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25009  IFTelemetrySELFI 0.0  00:00.01 2     1   47     4017K 0B    3616K 25009 1     sleeping *0[1]         0.00000 0.00000    501 1389     176    160      52        733       362       111       9       0        0.0   0      0      40     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25008  BiomeSELFIngesto 0.0  00:00.03 2     1   47     4561K 0B    4176K 25008 1     sleeping *0[1]         0.00000 0.00000    501 1583     195    193      53        2803      461       227       166     0        0.0   0      0      40     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25007  IFTranscriptSELF 0.0  00:00.04 2     1   47     4113K 0B    3728K 25007 1     sleeping *0[1]         0.00000 0.00000    501 1384     187    166      52        772       378       240       117     0        0.0   0      0      40     jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25006  extensionkitserv 0.0  00:00.12 2     1   36     3473K 0B    3184K 25006 1     sleeping  0[0]         0.00000 0.00000    501 1275     143    171      56        1566      369       422       42      2        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
25005  SAExtensionOrche 0.0  00:00.26 2     1   65     4785K 0B    4352K 25005 1     sleeping  0[0]         0.00000 0.00000    501 1760     168    302      87        1501      940       926       370     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24993  Google Chrome He 0.0  00:00.35 15    1   132    27M   0B    22M   1205  1205  sleeping *0[682]       0.00000 0.00000    501 20356    829    6420     4354      10959     14520     5334      6       9        0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24991  MTLCompilerServi 0.0  00:00.34 2     1   36     13M   0B    13M   24991 1     sleeping *0[5]         0.00000 0.00000    501 3867     314    848      404       1409      677       336       339     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24971  Google Chrome He 0.0  00:10.35 18    1   185    249M  0B    241M  1205  1205  sleeping *5[875]       0.00000 0.00000    501 253812   916    29521    13999     65594     77417     53754     154     76       0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24961  osanalyticshelpe 0.0  00:00.09 2     1   41     2865K 0B    2576K 24961 1     sleeping  0[0]         0.00000 0.00000    0   1048     137    109      40        691       249       255       73      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24942  MTLCompilerServi 0.0  00:01.29 2     1   36     15M   0B    15M   24942 1     sleeping *0[14]        0.00000 0.00000    501 10273    314    3022     1496      2356      1807      3241      2004    0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24936  Google Chrome He 0.0  00:17.28 18    1   181    255M  0B    246M  1205  1205  sleeping *5[3153]      0.00000 0.00000    501 317743   897    76099    34659     103071    185532    105969    1824    263      0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
